GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,RES_ONLYA,TRUSTA,AIANHHA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001,H7W001,H7W002,H7W003,H7W004,H7W005,H7W006,H7Z001,H7Z002,H7Z003,H7Z004,H7Z005,H7Z006,H7Z007,H7Z008,H7Z009,H7Z010,H7Z011,H7Z012,H7Z013,H7Z014,H7Z015,H7Z016,H7Z017,H76001,H76002,H76003,H76004,H76005,H76006,H76007,H76008,H76009,H76010,H76011,H76012,H76013,H76014,H76015,H76016,H76017,H76018,H76019,H76020,H76021,H76022,H76023,H76024,H76025,H76026,H76027,H76028,H76029,H76030,H76031,H76032,H76033,H76034,H76035,H76036,H76037,H76038,H76039,H76040,H76041,H76042,H76043,H76044,H76045,H76046,H76047,H76048,H76049
"G20000500816002","2010","2","4","Kansas","20","Atchison County","005",,,"081600","2",,,,,,,,,,"11860","99999","312",,,,,,,,,,,,,,"Block Group 2",,834,834,0,0,0,834,0,834,814,789,10,2,2,0,2,9,20,14,0,3,0,0,1,2,834,427,31,34,38,20,9,5,3,8,24,26,24,28,25,34,28,12,12,12,11,13,14,10,6,407,24,37,34,15,7,1,1,8,20,28,26,34,26,24,25,8,14,11,10,15,15,8,16
"G20000500816003","2010","2","4","Kansas","20","Atchison County","005",,,"081600","3",,,,,,,,,,"11860","99999","312",,,,,,,,,,,,,,"Block Group 3",,690,690,0,0,0,690,0,690,684,668,1,3,6,0,3,3,6,2,0,0,0,0,1,3,690,348,8,32,31,16,7,3,2,15,19,14,18,25,23,36,23,6,14,5,14,13,7,11,6,342,21,12,25,17,6,2,3,11,20,14,15,20,29,32,24,12,13,10,13,15,12,10,6
"G20000500816004","2010","2","4","Kansas","20","Atchison County","005",,,"081600","4",,,,,,,,,,"11860","99999","312",,,,,,,,,,,,,,"Block Group 4",,987,987,0,0,0,987,0,987,979,930,34,4,2,0,0,9,8,8,0,0,0,0,0,0,987,520,21,45,42,21,18,4,4,10,19,32,20,38,45,44,54,15,19,7,27,14,10,5,6,467,22,28,49,30,8,2,3,8,18,22,23,41,40,44,32,12,17,12,15,18,9,7,7
"G20000500816005","2010","2","4","Kansas","20","Atchison County","005",,,"081600","5",,,,,,,,,,"11860","99999","312",,,,,,,,,,,,,,"Block Group 5",,940,940,0,0,0,940,0,940,934,907,6,6,0,0,0,15,6,5,0,0,0,0,1,0,940,486,23,41,36,27,8,3,3,13,15,20,24,29,39,48,38,14,22,4,16,24,18,15,6,454,22,22,34,19,7,1,3,10,18,26,22,37,26,49,36,12,22,13,15,22,18,9,11
"G20000500817001","2010","2","4","Kansas","20","Atchison County","005",,,"081700","1",,,,,,,,,,"11860","99999","312",,,,,,,,,,,,,,"Block Group 1",,2306,2306,2260,0,2260,46,0,2306,2246,1975,183,9,18,5,3,53,60,32,0,0,0,0,22,6,2306,1059,48,47,46,22,217,88,101,91,45,29,40,25,36,44,34,19,13,13,18,23,21,24,15,1247,52,44,34,21,293,154,124,100,42,27,34,28,41,47,37,14,10,11,12,28,30,26,38
"G20000500817002","2010","2","4","Kansas","20","Atchison County","005",,,"081700","2",,,,,,,,,,"11860","99999","312",,,,,,,,,,,,,,"Block Group 2",,1909,1909,1423,0,1423,486,0,1909,1858,1746,65,12,9,0,1,25,51,37,0,0,0,0,5,9,1909,947,67,70,82,38,23,11,10,30,49,54,62,58,74,64,72,18,26,27,19,35,23,19,16,962,61,73,69,39,16,10,6,27,40,51,64,60,63,109,59,21,35,28,15,39,31,20,26
"G20000500817003","2010","2","4","Kansas","20","Atchison County","005",,,"081700","3",,,,,,,,,,"11860","99999","312",,,,,,,,,,,,,,"Block Group 3",,1227,1227,1187,0,1187,40,0,1227,1195,883,210,4,0,0,1,97,32,16,2,2,0,0,4,8,1227,580,68,50,49,27,14,6,10,28,39,28,32,34,39,45,31,8,13,11,8,18,12,7,3,647,58,48,41,45,17,19,15,32,40,34,47,35,41,44,20,12,21,10,13,17,18,8,12
"G20000500817004","2010","2","4","Kansas","20","Atchison County","005",,,"081700","4",,,,,,,,,,"11860","99999","312",,,,,,,,,,,,,,"Block Group 4",,961,961,961,0,961,0,0,961,943,880,36,5,2,0,4,16,18,7,4,0,0,0,1,6,961,446,38,28,24,21,11,7,3,16,35,29,27,23,28,28,32,5,14,8,5,19,15,18,12,515,36,44,26,31,13,6,6,18,35,26,24,26,31,35,28,5,14,5,15,27,18,19,27
"G20000500818001","2010","2","4","Kansas","20","Atchison County","005",,,"081800","1",,,,,,,,,,"11860","99999","312",,,,,,,,,,,,,,"Block Group 1",,838,838,458,0,458,380,0,838,817,782,15,4,2,1,0,13,21,15,0,0,0,0,4,2,838,415,34,27,20,11,12,4,6,18,26,22,25,31,34,37,25,9,15,7,12,13,9,13,5,423,28,22,26,23,9,6,2,14,24,10,18,32,33,36,34,9,11,12,14,15,15,18,12
"G20000500818002","2010","2","4","Kansas","20","Atchison County","005",,,"081800","2",,,,,,,,,,"11860","99999","312",,,,,,,,,,,,,,"Block Group 2",,877,877,566,0,566,311,0,877,865,781,49,3,2,0,0,30,12,11,0,1,0,0,0,0,877,414,35,26,31,13,12,9,3,26,28,19,19,24,30,29,27,10,18,9,12,11,10,8,5,463,32,26,40,22,16,5,0,19,23,23,21,28,36,30,27,14,11,8,17,27,14,10,14
