GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,RES_ONLYA,TRUSTA,AIANHHA,AITSCEA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,METDIVA,CSAA,NECTAA,NECTADIVA,CNECTAA,UAA,URBRURALA,CDA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7V001
"G20001500201001","2010","2","4","Kansas","20","Butler County","015",,,"020100","1",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 1",,1564
"G20001500201002","2010","2","4","Kansas","20","Butler County","015",,,"020100","2",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 2",,2677
"G20001500201003","2010","2","4","Kansas","20","Butler County","015",,,"020100","3",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 3",,2012
"G20001500202011","2010","2","4","Kansas","20","Butler County","015",,,"020201","1",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 1",,3611
"G20001500202012","2010","2","4","Kansas","20","Butler County","015",,,"020201","2",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 2",,1489
"G20001500202013","2010","2","4","Kansas","20","Butler County","015",,,"020201","3",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 3",,2076
"G20001500202021","2010","2","4","Kansas","20","Butler County","015",,,"020202","1",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 1",,2552
"G20001500202022","2010","2","4","Kansas","20","Butler County","015",,,"020202","2",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 2",,1230
"G20001500202023","2010","2","4","Kansas","20","Butler County","015",,,"020202","3",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 3",,706
"G20001500202024","2010","2","4","Kansas","20","Butler County","015",,,"020202","4",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 4",,2439
"G20001500202025","2010","2","4","Kansas","20","Butler County","015",,,"020202","5",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 5",,1416
"G20001500202031","2010","2","4","Kansas","20","Butler County","015",,,"020203","1",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 1",,1876
"G20001500202032","2010","2","4","Kansas","20","Butler County","015",,,"020203","2",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 2",,2562
"G20001500202033","2010","2","4","Kansas","20","Butler County","015",,,"020203","3",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 3",,710
"G20001500202034","2010","2","4","Kansas","20","Butler County","015",,,"020203","4",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 4",,636
"G20001500203001","2010","2","4","Kansas","20","Butler County","015",,,"020300","1",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 1",,2446
"G20001500203002","2010","2","4","Kansas","20","Butler County","015",,,"020300","2",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 2",,829
"G20001500203003","2010","2","4","Kansas","20","Butler County","015",,,"020300","3",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 3",,608
"G20001500204001","2010","2","4","Kansas","20","Butler County","015",,,"020400","1",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 1",,1014
"G20001500204002","2010","2","4","Kansas","20","Butler County","015",,,"020400","2",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 2",,1545
"G20001500205001","2010","2","4","Kansas","20","Butler County","015",,,"020500","1",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 1",,980
"G20001500205002","2010","2","4","Kansas","20","Butler County","015",,,"020500","2",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 2",,1828
"G20001500205003","2010","2","4","Kansas","20","Butler County","015",,,"020500","3",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 3",,1575
"G20001500205004","2010","2","4","Kansas","20","Butler County","015",,,"020500","4",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 4",,1058
"G20001500206001","2010","2","4","Kansas","20","Butler County","015",,,"020600","1",,,,,,,,,,"48620","99999","556",,,,,,,,,,,,,,"Block Group 1",,1122
